drug	gene	diplotype	phenotype	effect	recommendation
sertraline	CYP2C19	*17/*17	UM	Незначительное увеличение метаболизма сертралина до менее активных соединений по сравнению с нормальными метаболизаторами CYP2C19	Начинайте терапию с рекомендованной начальной дозы
sertraline	CYP2C19	*1/*17	RM	Незначительное увеличение метаболизма сертралина до менее активных соединений по сравнению с нормальными метаболизаторами.	Начинайте терапию с рекомендованной начальной дозы
sertraline	CYP2C19	*1/*1	NM	Нормальный метаболизм	Начинайте терапию с рекомендованной начальной дозы
sertraline	CYP2C19	*1/*9	IM	У лиц с нормальным метаболизмом CYP2C19 наблюдается снижение метаболизма сертралина до менее активных соединений.	Начинайте терапию с рекомендованной начальной дозы. Рассмотрите возможность более медленного титрования и более низкой поддерживающей дозы, чем у пациентов с нормальным метаболизмом CYP2C19.
sertraline	CYP2C19	*9/*17	IM	У лиц с нормальным метаболизмом CYP2C19 наблюдается снижение метаболизма сертралина до менее активных соединений.	Начинайте терапию с рекомендованной начальной дозы. Рассмотрите возможность более медленного титрования и более низкой поддерживающей дозы, чем у пациентов с нормальным метаболизмом CYP2C19.
sertraline	CYP2C19	*9/*9	IM	У лиц с нормальным метаболизмом CYP2C19 наблюдается снижение метаболизма сертралина до менее активных соединений.	Начинайте терапию с рекомендованной начальной дозы. Рассмотрите возможность более медленного титрования и более низкой поддерживающей дозы, чем у пациентов с нормальным метаболизмом CYP2C19.
sertraline	CYP2C19	*1/*2	IM	У лиц с нормальным метаболизмом CYP2C19 наблюдается снижение метаболизма сертралина до менее активных соединений.	Начинайте терапию с рекомендованной начальной дозы. Рассмотрите возможность более медленного титрования и более низкой поддерживающей дозы, чем у пациентов с нормальным метаболизмом CYP2C19.
sertraline	CYP2C19	*1/*3	IM	У лиц с нормальным метаболизмом CYP2C19 наблюдается снижение метаболизма сертралина до менее активных соединений.	Начинайте терапию с рекомендованной начальной дозы. Рассмотрите возможность более медленного титрования и более низкой поддерживающей дозы, чем у пациентов с нормальным метаболизмом CYP2C19.
sertraline	CYP2C19	*2/*17	IM	У лиц с нормальным метаболизмом CYP2C19 наблюдается снижение метаболизма сертралина до менее активных соединений.	Начинайте терапию с рекомендованной начальной дозы. Рассмотрите возможность более медленного титрования и более низкой поддерживающей дозы, чем у пациентов с нормальным метаболизмом CYP2C19.
sertraline	CYP2C19	*3/*17	IM	У лиц с нормальным метаболизмом CYP2C19 наблюдается снижение метаболизма сертралина до менее активных соединений.	Начинайте терапию с рекомендованной начальной дозы. Рассмотрите возможность более медленного титрования и более низкой поддерживающей дозы, чем у пациентов с нормальным метаболизмом CYP2C19.
sertraline	CYP2C19	*2/*9	PM	У лиц с нормальным метаболизмом CYP2C19 наблюдается значительно замедленный метаболизм сертралина до менее активных соединений. Более высокие концентрации в плазме могут увеличить вероятность побочных эффектов.	Рассмотрите возможность снижения начальной дозы, более медленного режима титрования и 50%-ного уменьшения стандартной поддерживающей дозы по сравнению с лицами с нормальным метаболизмом CYP2C19, или выберите клинически подходящий альтернативный антидепрессант, который не преимущественно метаболизируется CYP2C19.
sertraline	CYP2C19	*3/*9	PM	У лиц с нормальным метаболизмом CYP2C19 наблюдается значительно замедленный метаболизм сертралина до менее активных соединений. Более высокие концентрации в плазме могут увеличить вероятность побочных эффектов.	Рассмотрите возможность снижения начальной дозы, более медленного режима титрования и 50%-ного уменьшения стандартной поддерживающей дозы по сравнению с лицами с нормальным метаболизмом CYP2C19, или выберите клинически подходящий альтернативный антидепрессант, который не преимущественно метаболизируется CYP2C19.
sertraline	CYP2C19	*2/*2	PM	У лиц с нормальным метаболизмом CYP2C19 наблюдается значительно замедленный метаболизм сертралина до менее активных соединений. Более высокие концентрации в плазме могут увеличить вероятность побочных эффектов.	Рассмотрите возможность снижения начальной дозы, более медленного режима титрования и 50%-ного уменьшения стандартной поддерживающей дозы по сравнению с лицами с нормальным метаболизмом CYP2C19, или выберите клинически подходящий альтернативный антидепрессант, который не преимущественно метаболизируется CYP2C19.
sertraline	CYP2C19	*2/*3	PM	У лиц с нормальным метаболизмом CYP2C19 наблюдается значительно замедленный метаболизм сертралина до менее активных соединений. Более высокие концентрации в плазме могут увеличить вероятность побочных эффектов.	Рассмотрите возможность снижения начальной дозы, более медленного режима титрования и 50%-ного уменьшения стандартной поддерживающей дозы по сравнению с лицами с нормальным метаболизмом CYP2C19, или выберите клинически подходящий альтернативный антидепрессант, который не преимущественно метаболизируется CYP2C19.
sertraline	CYP2C19	*3/*3	PM	У лиц с нормальным метаболизмом CYP2C19 наблюдается значительно замедленный метаболизм сертралина до менее активных соединений. Более высокие концентрации в плазме могут увеличить вероятность побочных эффектов.	Рассмотрите возможность снижения начальной дозы, более медленного режима титрования и 50%-ного уменьшения стандартной поддерживающей дозы по сравнению с лицами с нормальным метаболизмом CYP2C19, или выберите клинически подходящий альтернативный антидепрессант, который не преимущественно метаболизируется CYP2C19.
sertraline	CYP2B6	*4/*4	UM	У лиц с нормальным метаболизмом CYP2B6 наблюдается усиление метаболизма сертралина до менее активных соединений.	Начинайте терапию с рекомендованной начальной дозы.
